CompanyName,URL,WebSales2016,MerchadiseCategory,MerchantType,DateVisited,TimeVisited,NumberofpagescapturedPDF,Product,Price_Text,TotalNumber_DeliberationFeatures,TotalNumber_ImpulseFeatures,feature_othersboughtrecommendations,feature_othersviewedrecommendations,feature_saveforlaterlist,feature_similarproductsrecommendations,feature_addonrecommendations,feature_bestseller,feature_cartcheckoutpopup,feature_discountforaddonproducts,feature_discountforautoreorder,feature_discountforemailaddress,feature_discountforfirstpurchasenotemailaccount,feature_discountpromocodenotshippingnotgifts,feature_discountedprice,feature_donationwithpurchase,feature_easycredit,feature_exclusiveprice,feature_exclusiveproduct,feature_externaladssponsoredproducts,feature_freecancellationreservations,feature_freegiftwithpurchase,feature_generalrecommendations,feature_generalwishlist,feature_helpfulnothelpfulreviewvoting,feature_interactivity,feature_internalads,feature_limitedtimediscountnoclock,feature_limitedtimediscountwcountdownclock,feature_limitedtimeproductavailabilitynoclock,feature_limitedtimeproductavailabilitywcountdownclock,feature_limitedquantityforsalenotlowstock,feature_lockindiscountnow,feature_lowstockwarning,feature_memberrewardsprogramdiscounts,feature_multipleproductpictures,feature_negativereviewhighlighted,feature_ExpeditedShipping_nextdayshipping_child,feature_numberofcustomersinterested,feature_numberofratingsreviews,feature_numbersoldor#customersbought,feature_orderdeadlineforshipping,feature_personalizationquiz,feature_personalizedrecommendations,feature_positivereviewhighlighted,feature_previewproductspecs,feature_pricealerts,feature_pricematchguarantee,feature_productcollectionforbrowsing,feature_productcomparison,feature_productQAsection,feature_quickaddtocart,feature_quickcheckout,feature_quickview,feature_ratingdistribution,feature_referraldiscount,feature_requiresaccounttocheckout,feature_salepagelist,feature_ExpeditedShipping_samedayshipping_child,feature_seeingthatfriendsknownothersbought,feature_sellingFast,feature_sharecartorproductnocounter,feature_sharecartorproductwithcounter,feature_showingrealpeopleusingproductnotmodelscelebs,feature_showsproductratingsreviews,feature_soldoutbackordered,feature_storepickup,feature_sweepstakeswithpurchase,feature_thirdpartyseal,feature_trialperiod,feature_videoanimation,feature_virtualdressingroom,feature_returnsrefunds,feature_ExpeditedShipping_PARENT,feature_discountedshippingmin,Theme_Deliberation_COUNT,Theme_AddOnBenefit_COUNT,Theme_Advertising_COUNT,Theme_Browsing_COUNT,Theme_Investment_COUNT,Theme_LowerRisk_COUNT,Theme_PerceivedScarcity_COUNT,Theme_PhysicalProximity_COUNT,Theme_ShoppingMomentum_COUNT,Theme_SocialInfluence_COUNT,Theme_TemporalProximity_COUNT,Theme_Urgency_COUNT
Amway,www.amway.com,1 billion+,Health/Beauty,Web Only,4/26/18,18:05:00,9,Eyeliner,$20.85 ,1,17,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,3,1,3,0,2,1,2,2,1,1,1
Menards,www.menards.com,$125M-$250M,Hardware/Home,Retail Chain,5/1/18,13:00:00,9,Seeds,$0.88 ,2,17,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,1,2,0,4,0,1,1,3,4,1
Sears Hometown/Outlets,www.searshometownstores.com,$250M-$500M,Hardware/Home,Retail Chain,4/29/18,21:45:00,8,Patio Furniture,$24.99 ,2,17,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,2,0,1,0,0,5,2,1,3,2,2,1
W.W. Grainger Inc.,www.grainger.com,1 billion+,Hardware/Home,Retail Chain,4/25/18,14:05:00,8,Pens,$1.38 ,2,17,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,2,0,1,2,0,4,1,1,1,3,3,1
Crate and Barrel,www.crateandbarrel.com,$500M-$1billion,Housewares/Home Furnishings,Retail Chain,4/27/18,18:30:00,9,Plant,$19.95 ,2,17,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,2,0,1,4,0,4,0,2,0,4,1,1
American Girl LLC,www.americangirl.com,$250M-$500M,Toys/Hobbies,Catalog/Call Center,4/29/18,21:30:00,11,Book,$3.00 ,3,17,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,4,0,3,1,2,1,4,2,0
Bonobos,bonobos.com,$125M-$250M,Apparel/Accessories,Consumer Brand Manufacturer,5/3/18,14:00:00,11,Pocket Square,$30.00 ,0,16,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,6,0,3,1,0,2,1
Bluefly Inc.,www.bluefly.com,$125M-$250M,Apparel/Accessories,Web Only,5/3/18,13:50:00,12,Eyeshadow,$5.99 ,0,16,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,1,4,1,1,0,1,2,2
HP Home & Home Office Store,store.hp.com,1 billion+,Computers/Electronics,Consumer Brand Manufacturer,4/27/18,12:30:00,7,LTablet Case,$8.99 ,1,16,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,5,2,1,1,2,3,1
1Sale,www.1sale.com,$250M-$500M,Mass Merchant,Web Only,5/1/18,1:40:00,11,Belt,$7.99 ,1,16,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,5,1,1,0,3,1,3
Eddie Bauer LLC,www.eddiebauer.com,$250M-$500M,Apparel/Accessories,Retail Chain,4/28/18,15:25:00,12,Socks,$10.00 ,2,16,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,2,0,0,2,0,5,0,2,1,3,2,1
DSW Inc.,www.dsw.com,$250M-$500M,Apparel/Accessories,Retail Chain,4/30/18,12:25:00,7,Slippers,$9.98 ,2,16,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,1,1,2,0,4,0,2,2,3,1,0
Costco Wholesale Corp.,www.costco.com,1 billion+,Hardware/Home,Retail Chain,4/25/18,13:40:00,7,Pens,$7.99 ,2,16,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,2,1,2,2,0,3,1,1,1,3,1,1
Monoprice Inc.,www.monoprice.com,$125M-$250M,Computers/Electronics,Web Only,5/1/18,14:30:00,7,Mouse Pad,$6.89 ,2,16,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,2,0,1,0,0,4,1,2,2,3,1,2
Power Equipment Direct Inc.,www.powerequipmentdirect.com,$125M-$250M,Hardware/Home,Web Only,4/30/18,18:55:00,6,Door Seal,$4.13 ,2,16,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,2,1,1,1,0,4,1,1,1,4,1,1
123Stores Inc.,http://123stores.com/,$125M-$250M,Mass Merchant,Web Only,5/1/18,15:30:00,9,Lotion,$12.18 ,2,16,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,2,0,0,0,2,6,1,1,1,2,3,1
Columbia Sportswear Co.,www.columbia.com,$125M-$250M,Apparel/Accessories,Retail Chain,4/30/18,14:40:00,11,Socks,$10.50 ,3,16,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,3,0,0,2,0,4,0,3,0,6,1,0
GNC Holdings Inc.,http://www.gnc.com/,$125M-$250M,Health/Beauty,Retail Chain,4/30/18,18:00:00,8,Vitamin,$9.99 ,4,16,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,4,0,0,0,0,4,2,2,3,4,1,0
Nutrisystem Inc.,www.nutrisystem.com,$250M-$500M,Food/Drug,Catalog/Call Center,4/29/18,22:50:00,8,Basic Plan,$10.18/d,0,15,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2,4,0,0,2,3,1,2
Nike Inc.,www.nike.com,1 billion+,Apparel/Accessories,Consumer Brand Manufacturer,4/26/18,16:55:00,12,T-Shirt,$14.97 ,0,15,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,2,0,5,0,3,1,3,1,0
Beachbody LLC,www.beachbody.com,$125M-$250M,Health/Beauty,Consumer Brand Manufacturer,4/30/18,14:20:00,6,Workout Gear,$14.95 ,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0,4,0,1,0,6,2,0
Focus Camera Inc.,www.focuscamera.com,$125M-$250M,Computers/Electronics,Retail Chain,5/1/18,14:15:00,8,Camera Case,$2.29 ,0,15,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,4,0,1,1,3,3,2
RockAuto LLC,www.rockauto.com,$125M-$250M,Automotive,Web Only,4/30/18,16:00:00,7,Light,$18.11 ,0,15,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,2,2,1,2,2,1
FTD,www.ftd.com,$250M-$500M,Flowers/Gifts,Web Only,4/29/18,21:10:00,10,Flowers,$29.99 ,0,15,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,3,0,4,0,4,0,1,1,2
Keurig Green Mountain Inc.,www.keurig.com,$250M-$500M,Food/Drug,Catalog/Call Center,4/28/18,15:40:00,9,Coffee,$7.49 ,1,15,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,2,0,3,1,2,3,1,2,0
Zumiez Inc.,www.zumiez.com,$125M-$250M,Apparel/Accessories,Consumer Brand Manufacturer,5/3/18,13:35:00,9,Slippers,$4.49 ,1,15,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,3,0,4,0,2,2,1,2,0
Warby Parker,www.warbyparker.com,$125M-$250M,Health/Beauty,Consumer Brand Manufacturer,4/30/18,18:05:00,7,Sunglasses,$95.00 ,1,15,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,2,1,2,1,3,1,2,1,0,2,0
Barneys New York Inc.,www.barneys.com,$125M-$250M,Apparel/Accessories,Retail Chain,4/30/18,14:35:00,8,Brow Pencil,$15.00 ,1,15,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,2,0,3,1,2,1,0,2,2
PetMed Express Inc.,www.1800petmeds.com,$125M-$250M,Specialty,Catalog/Call Center,4/30/18,16:25:00,7,Toy,$3.50 ,2,15,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,3,0,2,2,4,2,2
"Expedia, Inc. (Homeaway)",Homeaway.com,NA,Travel,Web Only,5/3/18,12:40:00,5,Lodging,$175/d,3,15,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,2,1,0,1,1,3,1,5,0,1
Palmetto State Armory,http://palmettostatearmory.com/,$125M-$250M,Sporting Goods,Retail Chain,4/30/18,17:35:00,9,Hat,$14.99 ,5,15,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,5,1,0,1,0,4,1,1,0,5,1,1
Scholastic Inc.,shop.scholastic.com,$250M-$500M,Books/Music/Video,Catalog/Call Center,4/28/18,14:50:00,8,Book,$2.79 ,0,14,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,3,0,3,1,0,2,2,2,0
Ralph Lauren Media LLC,www.ralphlauren.com,$500M-$1billion,Apparel/Accessories,Consumer Brand Manufacturer,4/27/18,16:50:00,9,T-Shirt,$22.50 ,0,14,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,2,0,5,0,3,1,1,1,0
PC Connection Inc.,www.connection.com,$500M-$1billion,Computers/Electronics,Catalog/Call Center,4/27/18,15:30:00,10,DVD,$3.40 ,1,14,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,1,4,1,1,0,2,2,1
CustomInk,www.customink.com,$250M-$500M,Apparel/Accessories,Web Only,4/29/18,21:00:00,9,T-Shirt,$20.87 ,1,14,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,4,2,4,2,0
Art.com Inc.,www.art.com,$250M-$500M,Housewares/Home Furnishings,Web Only,4/29/18,21:55:00,8,Blanket,$27.65 ,1,14,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,2,0,7,0,2,0,2,0,1
JM Bullion Inc.,www.jmbullion.com,$500M-$1billion,Specialty,Web Only,4/27/18,18:10:00,7,Coin,$0.99 ,1,14,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,3,2,1,0,5,2,1
W.B. Mason Co. Inc.,www.wbmason.cm,$500M-$1billion,Office Supplies,Retail Chain,4/27/18,14:25:00,9,Coffee,$15.99 ,2,14,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,1,3,0,1,1,0,1,3
Lakeshore Learning,www.lakeshorelearning.com,$125M-$250M,Toys/Hobbies,Retail Chain,5/1/18,15:45:00,8,Book,$6.99 ,2,14,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,2,0,1,1,0,4,0,2,1,4,1,0
adidas AG,www.adidas.com,1 billion+,Apparel/Accessories,Consumer Brand Manufacturer,4/27/18,14:10:00,6,Socks,$7.00 ,4,14,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,4,0,0,2,0,5,1,1,1,4,0,0
1.800.Flowers.com Inc.,www.1800flowers.com,$500M-$1billion,Flowers/Gifts,Catalog/Call Center,4/27/18,16:10:00,7,Flowers,$24.99 ,0,13,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,4,0,1,0,1,1,3
Restoration Hardware,www.restorationhardware.com,1 billion+,Housewares/Home Furnishings,Retail Chain,4/27/18,14:00:00,9,Pillow,$44.00 ,1,13,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,4,0,2,1,1,3,0
DeepDiscount.com,www.deepdisocunt.com,$125M-$250M,Books/Music/Video,Web Only,5/1/18,14:45:00,14,DVD,$3.99 ,1,13,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,5,1,0,1,2,1,2
Airbnb,www.airbnb.com,NA,Travel,Web Only,5/3/18,13:20:00,10,Lodging,$40/d,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,2,1,3,0,5,0,0
Karmaloop.com,www.karmaloop.com,$125M-$250M,Apparel/Accessories,Web Only,4/30/18,13:55:00,10,Bag,$21.95 ,0,12,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1,2,0,1,1,1
RueLaLa.com,www.ruelala.com,$500M-$1billion,Apparel/Accessories,Web Only,4/28/18,14:30:00,7,Wallet,$19.99 ,0,12,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,1,3,0,0,0,4
Casper,casper.com,$125M-$250M,Housewares/Home Furnishings,Consumer Brand Manufacturer,4/30/18,16:45:00,9,Pillow,$75.00 ,1,12,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,3,0,1,0,6,1,0
Tiffany & Co.,www.tiffany.com,$250M-$500M,Jewelry,Consumer Brand Manufacturer,4/29/18,23:20:00,7,Charm,$75.00 ,2,12,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,2,1,0,3,0,2,0,1,0,2,3,0
Apple Inc.,www.apple.com,1 billion+,Books/Music/Video,Consumer Brand Manufacturer,4/24/18,15:40:00,7,Tablet Case,$49.99 ,3,12,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,3,1,0,2,0,1,0,3,0,1,3,1
hhgregg Appliances Inc.,www.hhgregg.com,$125M-$250M,Computers/Electronics,Retail Chain,5/3/18,14:15:00,7,Patio Furniture,$29.99 ,1,11,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,4,0,1,2,1,1,0
U.S. Auto Parts Network Inc.,usautoparts.net,$250M-$500M,Automotive,Web Only,4/29/18,23:25:00,6,Seat Cover,$14.01 ,1,11,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,5,0,1,0,1,2,0
United States Mint,https://catalog.usmint.gov/,$250M-$500M,Specialty,Web Only,4/28/18,15:30:00,5,Coin,$19.95 ,1,11,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2,2,2,1,2,1,0
