CompanyName,URL,WebSales2016,MerchadiseCategory,MerchantType,DateVisited,TimeVisited,NumberofpagescapturedPDF,Product,Price_Text,TotalNumber_DeliberationFeatures,TotalNumber_ImpulseFeatures,feature_othersboughtrecommendations,feature_othersviewedrecommendations,feature_saveforlaterlist,feature_similarproductsrecommendations,feature_addonrecommendations,feature_bestseller,feature_cartcheckoutpopup,feature_discountforaddonproducts,feature_discountforautoreorder,feature_discountforemailaddress,feature_discountforfirstpurchasenotemailaccount,feature_discountpromocodenotshippingnotgifts,feature_discountedprice,feature_donationwithpurchase,feature_easycredit,feature_exclusiveprice,feature_exclusiveproduct,feature_externaladssponsoredproducts,feature_freecancellationreservations,feature_freegiftwithpurchase,feature_generalrecommendations,feature_generalwishlist,feature_helpfulnothelpfulreviewvoting,feature_interactivity,feature_internalads,feature_limitedtimediscountnoclock,feature_limitedtimediscountwcountdownclock,feature_limitedtimeproductavailabilitynoclock,feature_limitedtimeproductavailabilitywcountdownclock,feature_limitedquantityforsalenotlowstock,feature_lockindiscountnow,feature_lowstockwarning,feature_memberrewardsprogramdiscounts,feature_multipleproductpictures,feature_negativereviewhighlighted,feature_ExpeditedShipping_nextdayshipping_child,feature_numberofcustomersinterested,feature_numberofratingsreviews,feature_numbersoldor#customersbought,feature_orderdeadlineforshipping,feature_personalizationquiz,feature_personalizedrecommendations,feature_positivereviewhighlighted,feature_previewproductspecs,feature_pricealerts,feature_pricematchguarantee,feature_productcollectionforbrowsing,feature_productcomparison,feature_productQAsection,feature_quickaddtocart,feature_quickcheckout,feature_quickview,feature_ratingdistribution,feature_referraldiscount,feature_requiresaccounttocheckout,feature_salepagelist,feature_ExpeditedShipping_samedayshipping_child,feature_seeingthatfriendsknownothersbought,feature_sellingFast,feature_sharecartorproductnocounter,feature_sharecartorproductwithcounter,feature_showingrealpeopleusingproductnotmodelscelebs,feature_showsproductratingsreviews,feature_soldoutbackordered,feature_storepickup,feature_sweepstakeswithpurchase,feature_thirdpartyseal,feature_trialperiod,feature_videoanimation,feature_virtualdressingroom,feature_returnsrefunds,feature_ExpeditedShipping_PARENT,feature_discountedshippingmin,Theme_Deliberation_COUNT,Theme_AddOnBenefit_COUNT,Theme_Advertising_COUNT,Theme_Browsing_COUNT,Theme_Investment_COUNT,Theme_LowerRisk_COUNT,Theme_PerceivedScarcity_COUNT,Theme_PhysicalProximity_COUNT,Theme_ShoppingMomentum_COUNT,Theme_SocialInfluence_COUNT,Theme_TemporalProximity_COUNT,Theme_Urgency_COUNT
HanesBrands Inc.,www.hanes.com,$125M-$250M,Apparel/Accessories,Consumer Brand Manufacturer,5/3/18,13:30:00,12,T-Shirt,$5.99 ,5,19,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,5,0,0,3,0,4,0,3,2,5,2,0
Duluth Trading Company,www.duluthtrading.com,$125M-$250M,Apparel/Accessories,Retail Chain,4/30/18,16:40:00,11,Sunglasses,$16.95 ,5,19,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,5,0,0,4,0,5,0,2,1,5,1,1
The Finish Line Inc.,www.finishline.com,$250M-$500M,Apparel/Accessories,Catalog/Call Center,4/28/18,17:20:00,10,Bracelet,$9.99 ,0,18,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,3,0,4,1,1,0,4,3,1
Signature Hardware,www.signaturehardware.com,$125M-$250M,Hardware/Home,Catalog/Call Center,5/1/18,15:25:00,10,Key,$17.95 ,1,18,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,1,3,0,3,0,3,2,4,2,0
Gander Mountain,www.ganderoutdoors.com,$125M-$250M,Sporting Goods,Catalog/Call Center,5/1/18,15:40:00,7,Socks,$19.99 ,1,18,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,2,2,0,5,2,1,1,3,1,1
Coach Inc.,www.coach.com,$125M-$250M,Apparel/Accessories,Consumer Brand Manufacturer,4/30/18,14:25:00,11,Charm,$25.00 ,1,18,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,4,0,4,0,2,0,3,3,1
The RealReal Inc.,www.therealreal.com,$125M-$250M,Apparel/Accessories,Web Only,4/30/18,18:25:00,9,Bracelet,$31.50 ,1,18,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,2,0,7,0,2,0,2,2,2
Disney Store USA LLC,www.shopdisney.com,$250M-$500M,Specialty,Web Only,4/29/18,20:15:00,9,Doll,$3.99 ,1,18,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,3,0,5,1,2,2,1,2,1
Cabela's Inc.,www.cabelas.com,$500M-$1billion,Sporting Goods,Catalog/Call Center,4/27/18,17:00:00,11,Slippers,$14.88 ,2,18,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,2,1,1,2,0,4,0,3,2,3,1,1
Foot Locker Inc.,www.footlocker.com,1 billion+,Apparel/Accessories,Retail Chain,4/27/18,14:20:00,10,T-Shirt,$9.99 ,2,18,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,1,2,0,0,4,0,4,0,3,1,4,2,0
